Time (s),x,y,z
48.017,-0.64,-0.81,0.21
48.023,-0.63,-0.81,0.16
48.032,-0.62,-0.82,0.1
48.034,-0.62,-0.83,0.06
48.036,-0.62,-0.85,0.03
48.082,-0.62,-0.88,0
48.084,-0.66,-0.9,-0.01
48.085,-0.7,-0.94,-0.04
48.088,-0.74,-0.97,-0.02
48.089,-0.76,-0.99,-0.02
48.092,-0.81,-1,-0.01
48.094,-0.87,-1,0.01
48.096,-0.92,-0.99,0.02
48.097,-0.95,-0.97,0.04
48.098,-0.97,-0.97,0.04
48.1,-0.96,-0.98,0.04
48.101,-0.92,-1.02,0.04
48.104,-0.87,-1.07,0.04
48.115,-0.82,-1.12,0.02
48.117,-0.8,-1.16,0.02
48.119,-0.8,-1.17,0.03
48.121,-0.81,-1.19,0.05
48.133,-0.84,-1.19,0.07
48.136,-0.9,-1.16,0.08
48.138,-0.96,-1.11,0.07
48.141,-1.04,-1.04,0.07
48.178,-1.1,-0.98,0.06
48.18,-1.16,-0.9,0.06
48.181,-1.19,-0.85,0.04
48.183,-1.19,-0.82,0.03
48.184,-1.2,-0.8,0.06
48.185,-1.17,-0.82,0.11
48.186,-1.14,-0.83,0.17
48.188,-1.07,-0.84,0.23
48.189,-1,-0.87,0.31
48.191,-0.93,-0.9,0.4
48.199,-0.86,-0.94,0.46
48.201,-0.81,-0.98,0.55
48.206,-0.76,-1.01,0.63
48.214,-0.74,-1.05,0.68
48.216,-0.76,-1.08,0.68
48.221,-0.81,-1.12,0.65
48.224,-0.9,-1.19,0.57
48.233,-0.98,-1.27,0.46
48.235,-1.01,-1.36,0.39
48.241,-0.96,-1.47,0.33
48.283,-0.85,-1.57,0.29
48.285,-0.7,-1.67,0.23
48.286,-0.51,-1.73,0.07
48.287,-0.41,-1.71,-0.11
48.288,-0.38,-1.74,-0.34
48.29,-0.39,-1.74,-0.51
48.291,-0.42,-1.78,-0.76
48.293,-0.39,-1.86,-0.94
48.294,-0.35,-1.99,-1.06
48.295,-0.31,-2,-1.15
48.297,-0.26,-2,-1.13
48.307,-0.22,-2,-1.05
48.309,-0.18,-2,-0.84
48.31,-0.13,-2,-0.49
48.319,-0.08,-2,0.11
48.321,-0.13,-1.99,0.45
48.324,-0.27,-1.73,0.73
48.367,-0.35,-1.48,0.89
48.369,-0.35,-1.3,0.83
48.371,-0.34,-1.16,0.67
48.373,-0.31,-1.03,0.51
48.374,-0.29,-0.96,0.34
48.376,-0.29,-0.89,0.18
48.378,-0.31,-0.84,0.01
48.38,-0.33,-0.81,-0.08
48.381,-0.41,-0.77,-0.15
48.383,-0.46,-0.72,-0.23
48.384,-0.5,-0.7,-0.3
48.386,-0.53,-0.66,-0.28
48.395,-0.54,-0.62,-0.26
48.397,-0.56,-0.59,-0.17
48.398,-0.53,-0.55,-0.13
48.402,-0.47,-0.55,-0.1
48.408,-0.38,-0.55,-0.13
48.417,-0.29,-0.56,-0.14
48.419,-0.21,-0.55,-0.15
48.422,-0.16,-0.51,-0.15
48.432,-0.12,-0.46,-0.15
48.434,-0.1,-0.41,-0.17
48.438,-0.08,-0.36,-0.17
48.476,-0.05,-0.33,-0.17
48.477,-0.03,-0.29,-0.16
48.479,-0.02,-0.27,-0.18
48.48,-0.02,-0.26,-0.2
48.481,0,-0.23,-0.21
48.482,0.02,-0.23,-0.19
48.484,0.03,-0.22,-0.2
48.485,0.04,-0.21,-0.17
48.486,0.05,-0.21,-0.16
48.487,0.08,-0.22,-0.16
48.498,0.1,-0.22,-0.15
48.499,0.13,-0.24,-0.14
48.502,0.16,-0.25,-0.12
48.507,0.18,-0.26,-0.13
48.515,0.19,-0.26,-0.17
48.517,0.19,-0.28,-0.19
48.521,0.21,-0.27,-0.22
48.531,0.21,-0.27,-0.25
48.532,0.25,-0.28,-0.28
48.537,0.27,-0.29,-0.3
48.541,0.3,-0.29,-0.29
48.589,0.34,-0.29,-0.3
48.591,0.38,-0.29,-0.28
48.593,0.47,-0.3,-0.29
48.594,0.51,-0.32,-0.26
48.596,0.51,-0.35,-0.15
48.597,0.49,-0.36,-0.07
48.598,0.46,-0.37,-0.04
48.599,0.42,-0.37,-0.01
48.601,0.38,-0.39,-0.04
48.602,0.27,-0.45,-0.04
48.603,0.15,-0.53,-0.02
48.604,0.02,-0.66,0
48.606,-0.15,-0.84,0.05
48.614,-0.35,-1.03,0.27
48.616,-0.62,-1.26,0.57
48.621,-0.96,-1.54,1.27
48.631,-1.49,-2,2
48.633,-2,-2,2
48.636,-2,-2,2
48.64,-2,-2,1.44
48.68,-2,-2,0.61
48.681,-2,-2,-0.24
48.683,-2,-2,-0.14
48.685,-2,-2,0.48
48.686,-1.74,-1.54,0.96
48.688,-1.15,-1.08,1.04
48.69,-0.77,-0.7,0.8
48.691,-0.53,-0.41,0.55
48.694,-0.35,-0.17,0.43
48.696,-0.17,-0.05,0.36
48.697,-0.02,0,0.35
48.699,0.12,-0.01,0.34
48.71,0.27,-0.06,0.33
48.711,0.38,-0.21,0.35
48.713,0.52,-0.42,0.32
48.719,0.59,-0.65,0.23
48.733,0.63,-0.82,-0.05
48.736,0.61,-0.89,-0.36
48.738,0.57,-0.85,-0.64
48.74,0.54,-0.81,-0.8
48.743,0.46,-0.74,-0.74
48.784,0.46,-0.73,-0.83
48.786,0.47,-0.74,-0.9
48.787,0.47,-0.82,-0.92
48.789,0.48,-0.96,-0.94
48.79,0.45,-1.15,-0.81
48.792,0.41,-1.38,-0.44
48.794,0.34,-1.76,0.6
48.795,-0.45,-2,2
48.796,-0.93,-2,1.22
48.798,-1.18,-2,0.47
48.799,-1.38,-2,0.34
48.809,-1.46,-1.78,0.31
48.811,-1.36,-1.44,0.29
48.813,-1.15,-1.21,0.14
48.817,-0.9,-1.01,0.05
48.822,-0.69,-0.82,-0.02
48.831,-0.53,-0.65,-0.08
48.833,-0.4,-0.54,-0.15
48.839,-0.28,-0.48,-0.19
48.875,-0.21,-0.47,-0.23
48.877,-0.12,-0.52,-0.27
48.879,-0.07,-0.57,-0.31
48.88,-0.04,-0.64,-0.33
48.882,-0.01,-0.72,-0.35
48.884,0.04,-0.78,-0.37
48.885,0.08,-0.86,-0.39
48.886,0.11,-0.96,-0.43
48.888,0.15,-1.08,-0.48
48.889,0.16,-1.2,-0.5
48.898,0.14,-1.29,-0.53
48.9,0.11,-1.4,-0.57
48.902,0.04,-1.47,-0.55
48.908,-0.06,-1.48,-0.49
48.918,-0.19,-1.45,-0.42
48.92,-0.3,-1.38,-0.31
48.922,-0.37,-1.3,-0.26
48.93,-0.44,-1.22,-0.23
48.932,-0.48,-1.16,-0.22
48.937,-0.53,-1.09,-0.27
48.983,-0.58,-1.04,-0.34
48.984,-0.65,-0.99,-0.42
48.986,-0.71,-0.94,-0.45
48.987,-0.79,-0.89,-0.42
48.988,-0.83,-0.81,-0.39
48.99,-0.86,-0.73,-0.31
48.991,-0.88,-0.65,-0.19
48.993,-0.85,-0.59,-0.1
48.994,-0.8,-0.54,-0.01
48.996,-0.71,-0.53,0.06
48.997,-0.63,-0.54,0.11
48.998,-0.55,-0.56,0.19
49.006,-0.46,-0.57,0.24
49.008,-0.38,-0.58,0.28
49.011,-0.31,-0.6,0.3
49.016,-0.28,-0.6,0.3
49.02,-0.25,-0.64,0.3
49.031,-0.22,-0.68,0.26
49.033,-0.18,-0.75,0.24
49.036,-0.18,-0.79,0.2
49.04,-0.18,-0.83,0.15
49.05,-0.18,-0.84,0.11
49.052,-0.19,-0.85,0.06
49.055,-0.21,-0.84,0.02
49.095,-0.23,-0.82,-0.05
49.097,-0.22,-0.82,-0.1
49.099,-0.25,-0.79,-0.16
49.1,-0.26,-0.78,-0.21
49.102,-0.28,-0.76,-0.25
49.104,-0.3,-0.75,-0.27
49.106,-0.31,-0.74,-0.24
49.107,-0.35,-0.71,-0.2
49.109,-0.36,-0.69,-0.15
49.111,-0.37,-0.65,-0.08
49.113,-0.38,-0.62,-0.02
49.115,-0.42,-0.64,0.05
49.125,-0.45,-0.64,0.08
49.127,-0.49,-0.69,0.15
49.13,-0.53,-0.72,0.15
49.134,-0.56,-0.77,0.18
49.14,-0.58,-0.81,0.16
49.151,-0.57,-0.83,0.13
49.153,-0.58,-0.85,0.09
49.155,-0.57,-0.86,0.05
49.204,-0.57,-0.88,-0.01
49.206,-0.58,-0.88,-0.05
49.207,-0.59,-0.91,-0.06
49.209,-0.63,-0.92,-0.09
49.21,-0.66,-0.94,-0.09
49.211,-0.71,-0.98,-0.06
49.212,-0.75,-1.01,-0.03
49.219,-0.8,-1.03,0.02
49.221,-0.83,-1.05,0.04
49.223,-0.84,-1.05,0.09
49.225,-0.86,-1.05,0.12
49.226,-0.9,-1.03,0.15
49.227,-0.92,-0.99,0.15
49.229,-0.95,-0.96,0.12
49.23,-0.95,-0.92,0.11
49.239,-0.97,-0.9,0.06
49.241,-0.94,-0.91,0.04
49.242,-0.94,-0.92,0.01
49.247,-0.95,-0.95,0
49.253,-0.96,-0.98,-0.01
49.262,-0.99,-1,0
49.264,-1.03,-1.01,-0.04
49.267,-1.06,-1.01,-0.03
49.273,-1.12,-1.01,-0.05
49.317,-1.16,-0.99,-0.06
49.319,-1.2,-0.96,-0.09
49.321,-1.26,-0.94,-0.09
49.323,-1.31,-0.93,-0.09
49.324,-1.3,-0.89,-0.03
49.326,-1.25,-0.85,0
49.327,-1.17,-0.81,0.08
49.328,-1.08,-0.78,0.19
49.329,-1.02,-0.8,0.31
49.331,-0.94,-0.84,0.4
49.332,-0.87,-0.91,0.52
49.333,-0.81,-0.96,0.58
49.343,-0.75,-1.03,0.68
49.344,-0.73,-1.11,0.75
49.346,-0.74,-1.17,0.76
49.351,-0.8,-1.29,0.74
49.403,-0.87,-1.42,0.68
49.405,-0.9,-1.55,0.62
49.406,-0.87,-1.68,0.62
49.408,-0.81,-1.79,0.62
49.409,-0.67,-1.87,0.49
49.41,-0.53,-1.89,0.28
49.412,-0.4,-1.91,-0.02
49.413,-0.32,-1.91,-0.34
49.414,-0.28,-1.92,-0.63
49.415,-0.26,-1.94,-0.91
49.417,-0.25,-1.97,-1.11
49.418,-0.2,-2,-1.21
49.419,-0.14,-2,-1.27
49.43,-0.11,-2,-1.17
49.432,-0.06,-2,-0.96
49.433,-0.04,-2,-0.64
49.435,0,-2,-0.13
49.444,-0.02,-2,0.39
49.446,-0.16,-1.91,0.73
49.452,-0.32,-1.64,0.87
49.456,-0.41,-1.41,0.9
49.505,-0.39,-1.27,0.79
49.507,-0.32,-1.16,0.58
49.509,-0.3,-1.05,0.37
49.51,-0.29,-0.93,0.16
49.511,-0.28,-0.89,0
49.513,-0.31,-0.82,-0.13
49.514,-0.36,-0.77,-0.23
49.515,-0.44,-0.75,-0.27
49.516,-0.52,-0.73,-0.29
49.518,-0.57,-0.7,-0.28
49.519,-0.66,-0.68,-0.24
49.52,-0.72,-0.63,-0.14
49.522,-0.75,-0.58,-0.04
49.531,-0.72,-0.55,-0.01
49.532,-0.63,-0.56,-0.04
49.535,-0.52,-0.57,-0.07
49.546,-0.39,-0.59,-0.11
49.548,-0.27,-0.59,-0.15
49.55,-0.2,-0.57,-0.16
49.555,-0.15,-0.56,-0.18
49.591,-0.11,-0.51,-0.17
49.593,-0.08,-0.46,-0.17
49.594,-0.05,-0.41,-0.17
49.596,-0.03,-0.36,-0.15
49.597,-0.01,-0.31,-0.19
49.598,0.02,-0.28,-0.17
49.599,0.03,-0.25,-0.18
49.6,0.05,-0.23,-0.18
49.602,0.08,-0.22,-0.19
49.603,0.08,-0.19,-0.18
49.612,0.09,-0.18,-0.16
49.614,0.12,-0.17,-0.14
49.618,0.14,-0.17,-0.13
49.633,0.15,-0.16,-0.15
49.635,0.18,-0.16,-0.15
49.636,0.2,-0.17,-0.15
49.734,0.22,-0.18,-0.17
49.736,0.22,-0.19,-0.18
49.738,0.22,-0.21,-0.19
49.74,0.22,-0.24,-0.22
49.743,0.23,-0.26,-0.25
49.744,0.23,-0.28,-0.25
49.746,0.26,-0.29,-0.27
49.748,0.28,-0.28,-0.26
49.75,0.3,-0.28,-0.27
49.752,0.36,-0.27,-0.25
49.753,0.4,-0.29,-0.22
49.755,0.47,-0.32,-0.19
49.757,0.53,-0.38,-0.25
49.758,0.51,-0.4,-0.17
49.76,0.4,-0.39,0
49.761,0.31,-0.39,0.01
49.763,0.17,-0.42,0.13
49.764,0.03,-0.5,0.13
49.766,-0.09,-0.61,0.19
49.767,-0.23,-0.77,0.27
49.769,-0.41,-0.94,0.42
49.77,-0.64,-1.17,0.68
49.772,-0.91,-1.48,1.27
49.774,-1.34,-2,2
49.775,-2,-2,2
49.777,-2,-2,2
49.778,-2,-2,1.5
49.78,-2,-2,0.88
49.782,-2,-2,0.22
49.783,-2,-2,0.15
49.794,-2,-2,0.67
49.796,-1.74,-1.51,1.02
49.797,-1.16,-1.04,1.04
49.801,-0.82,-0.65,0.84
49.845,-0.58,-0.34,0.58
49.847,-0.4,-0.12,0.47
49.848,-0.22,-0.03,0.43
49.849,-0.05,0.01,0.39
49.851,0.07,-0.01,0.36
49.852,0.21,-0.07,0.32
49.853,0.32,-0.19,0.26
49.855,0.41,-0.37,0.1
49.856,0.47,-0.52,-0.16
49.858,0.48,-0.63,-0.5
49.859,0.49,-0.63,-0.74
49.86,0.49,-0.62,-0.83
49.869,0.5,-0.62,-0.9
49.87,0.49,-0.65,-0.83
49.905,0.5,-0.72,-0.82
49.907,0.53,-0.83,-0.87
49.908,0.54,-1,-0.87
49.91,0.52,-1.2,-0.77
49.911,0.49,-1.47,-0.4
49.913,0.42,-2,1.22
49.915,-0.28,-2,2
49.916,-0.94,-2,1.34
49.918,-1.28,-2,0.35
49.92,-1.43,-2,0.07
49.932,-1.56,-1.95,0.22
49.934,-1.44,-1.48,0.31
49.935,-1.18,-1.12,0.29
49.948,-0.9,-0.81,0.14
49.95,-0.62,-0.57,0.04
49.951,-0.4,-0.4,-0.08
49.954,-0.21,-0.32,-0.15
50.009,-0.06,-0.3,-0.2
50.011,0.02,-0.34,-0.24
50.013,0.05,-0.42,-0.27
50.014,0.09,-0.51,-0.3
50.016,0.08,-0.6,-0.32
50.017,0.09,-0.66,-0.31
50.018,0.09,-0.73,-0.33
50.02,0.1,-0.81,-0.36
50.021,0.12,-0.88,-0.37
50.023,0.16,-1.01,-0.4
50.024,0.18,-1.14,-0.43
50.026,0.17,-1.3,-0.47
50.027,0.12,-1.47,-0.51
50.028,0.05,-1.59,-0.52
50.03,-0.07,-1.68,-0.51
50.04,-0.2,-1.71,-0.47
50.042,-0.33,-1.67,-0.39
50.044,-0.45,-1.58,-0.32
50.048,-0.53,-1.46,-0.28
50.053,-0.59,-1.35,-0.24
50.063,-0.58,-1.23,-0.22
50.065,-0.65,-1.14,-0.36
50.068,-0.72,-1.03,-0.4
50.111,-0.77,-0.94,-0.45
50.113,-0.84,-0.84,-0.41
50.114,-0.87,-0.75,-0.34
50.115,-0.88,-0.64,-0.25
50.117,-0.88,-0.57,-0.2
50.118,-0.84,-0.5,-0.07
50.119,-0.76,-0.49,0.02
50.12,-0.69,-0.49,0.08
50.122,-0.59,-0.51,0.17
50.124,-0.52,-0.54,0.22
50.126,-0.44,-0.59,0.25
50.134,-0.37,-0.62,0.25
50.135,-0.32,-0.63,0.26
50.146,-0.27,-0.65,0.25
50.148,-0.24,-0.66,0.23
50.15,-0.23,-0.68,0.2
50.153,-0.22,-0.71,0.17
50.19,-0.19,-0.76,0.14
50.192,-0.16,-0.82,0.12
50.193,-0.16,-0.85,0.09
50.195,-0.16,-0.87,0.06
50.196,-0.16,-0.88,0.03
50.198,-0.16,-0.87,-0.01
50.199,-0.18,-0.85,-0.04
50.2,-0.2,-0.82,-0.09
50.202,-0.2,-0.8,-0.12
50.204,-0.23,-0.78,-0.16
50.213,-0.25,-0.76,-0.21
50.215,-0.3,-0.76,-0.22
50.217,-0.34,-0.74,-0.22
50.227,-0.37,-0.71,-0.19
50.229,-0.41,-0.68,-0.17
50.231,-0.43,-0.65,-0.14
50.236,-0.46,-0.63,-0.12
50.245,-0.49,-0.62,-0.11
50.247,-0.52,-0.63,-0.08
50.251,-0.55,-0.63,-0.04
50.295,-0.59,-0.65,-0.02
50.297,-0.6,-0.67,0.04
50.299,-0.62,-0.69,0.07
50.3,-0.62,-0.72,0.09
50.301,-0.62,-0.74,0.11
50.303,-0.63,-0.77,0.15
50.306,-0.63,-0.79,0.13
50.307,-0.62,-0.83,0.13
50.308,-0.63,-0.86,0.12
50.31,-0.65,-0.88,0.07
50.311,-0.67,-0.91,0.07
50.312,-0.68,-0.94,0.04
50.322,-0.71,-0.96,0.04
50.324,-0.72,-0.98,0.02
50.326,-0.75,-0.98,0.03
50.331,-0.8,-0.97,0.04
50.336,-0.86,-0.96,0.02
50.348,-0.9,-0.94,0
50.353,-0.95,-0.94,-0.04
50.356,-0.97,-0.96,-0.04
50.358,-0.96,-1.01,-0.07
50.36,-0.92,-1.07,-0.09
50.409,-0.88,-1.13,-0.1
50.411,-0.85,-1.18,-0.1
50.413,-0.83,-1.22,-0.08
50.415,-0.83,-1.24,-0.05
50.416,-0.88,-1.23,-0.03
50.418,-0.93,-1.19,-0.01
50.42,-1.01,-1.13,0.01
50.422,-1.1,-1.05,0.01
50.424,-1.18,-0.95,0.01
50.425,-1.24,-0.87,0
50.426,-1.25,-0.79,0
50.427,-1.25,-0.76,0.03
50.429,-1.21,-0.71,0.09
50.43,-1.16,-0.71,0.17
50.438,-1.1,-0.73,0.24
50.439,-1.04,-0.77,0.35
50.443,-0.98,-0.83,0.46
50.448,-0.93,-0.89,0.57
50.454,-0.86,-0.95,0.68
50.464,-0.8,-0.99,0.79
50.466,-0.75,-1,0.88
50.469,-0.7,-1.02,0.9
50.513,-0.69,-1.05,0.85
50.515,-0.75,-1.08,0.72
50.516,-0.85,-1.12,0.56
50.518,-1.01,-1.17,0.44
50.519,-1.12,-1.28,0.36
50.521,-1.16,-1.39,0.29
50.523,-1.09,-1.5,0.24
50.524,-0.91,-1.61,0.13
50.525,-0.68,-1.68,-0.04
50.527,-0.51,-1.7,-0.28
50.528,-0.43,-1.72,-0.48
50.53,-0.41,-1.74,-0.68
50.54,-0.38,-1.81,-0.89
50.543,-0.36,-1.9,-1.1
50.544,-0.3,-1.99,-1.24
50.547,-0.25,-2,-1.32
50.552,-0.21,-2,-1.26
50.563,-0.17,-2,-1.14
50.565,-0.13,-2,-0.87
50.567,-0.07,-2,-0.37
50.625,0.02,-2,0.48
50.627,-0.09,-2,1.02
50.629,-0.25,-1.9,1.1
50.631,-0.36,-1.55,0.99
50.633,-0.36,-1.37,0.81
50.634,-0.27,-1.28,0.54
50.636,-0.25,-1.18,0.3
50.638,-0.26,-1.06,0.14
50.639,-0.29,-0.94,-0.03
50.642,-0.34,-0.88,-0.11
50.643,-0.38,-0.82,-0.18
50.645,-0.42,-0.78,-0.21
50.646,-0.48,-0.75,-0.18
50.647,-0.53,-0.73,-0.16
50.649,-0.58,-0.7,-0.11
50.65,-0.61,-0.65,-0.05
50.651,-0.58,-0.61,-0.03
50.661,-0.52,-0.59,-0.04
50.663,-0.45,-0.58,-0.03
50.666,-0.36,-0.59,-0.07
50.671,-0.27,-0.58,-0.1
50.715,-0.18,-0.58,-0.11
50.717,-0.14,-0.56,-0.11
50.718,-0.1,-0.53,-0.13
50.72,-0.09,-0.47,-0.12
50.721,-0.08,-0.42,-0.11
50.723,-0.07,-0.38,-0.13
50.725,-0.06,-0.32,-0.14
50.726,-0.05,-0.28,-0.15
50.727,-0.02,-0.25,-0.16
50.728,-0.02,-0.22,-0.16
50.73,0,-0.2,-0.18
50.731,0.01,-0.21,-0.16
50.742,0.02,-0.18,-0.19
50.744,0.03,-0.17,-0.17
50.745,0.05,-0.17,-0.17
50.75,0.08,-0.17,-0.19
50.763,0.1,-0.18,-0.19
50.765,0.12,-0.2,-0.19
50.767,0.14,-0.22,-0.19
50.77,0.14,-0.24,-0.19
50.809,0.14,-0.27,-0.18
50.811,0.15,-0.29,-0.2
50.812,0.13,-0.31,-0.2
50.814,0.16,-0.32,-0.22
50.815,0.16,-0.31,-0.22
50.816,0.2,-0.32,-0.24
50.817,0.23,-0.3,-0.23
50.819,0.29,-0.3,-0.21
50.82,0.34,-0.29,-0.2
50.821,0.41,-0.3,-0.17
50.83,0.44,-0.3,-0.19
50.832,0.46,-0.3,-0.23
50.834,0.47,-0.32,-0.26
50.844,0.43,-0.33,-0.27
50.846,0.38,-0.35,-0.11
50.849,0.27,-0.39,0
50.892,0.14,-0.48,0.07
50.898,0.05,-0.58,0.11
50.9,-0.03,-0.69,0.15
50.901,-0.13,-0.85,0.29
50.904,-0.26,-1,0.56
50.908,-0.45,-1.14,1.29
50.911,-0.76,-1.43,2
50.913,-1.83,-2,2
50.914,-2,-2,2
50.916,-2,-2,1.59
50.918,-2,-2,0.8
50.92,-2,-2,0.15
50.921,-2,-2,-0.18
50.924,-2,-2,0.36
50.925,-2,-2,1.01
50.936,-1.57,-1.5,1.24
50.938,-1.04,-1.03,1.11
50.94,-0.72,-0.63,0.8
50.942,-0.54,-0.32,0.54
50.947,-0.34,-0.11,0.41
50.964,-0.16,-0.02,0.39
50.965,0.01,0,0.39
50.967,0.15,-0.09,0.38
50.969,0.34,-0.23,0.36
51.01,0.5,-0.5,0.34
51.011,0.62,-0.78,0.25
51.012,0.64,-1.01,0.01
51.014,0.58,-1.12,-0.37
51.015,0.49,-1.09,-0.63
51.016,0.44,-1.01,-0.72
51.018,0.44,-1,-0.76
51.019,0.49,-1,-0.81
51.02,0.55,-1.07,-0.9
51.021,0.56,-1.15,-0.88
51.023,0.6,-1.26,-0.6
51.033,0.67,-1.38,0.4
51.035,0.44,-1.54,0.57
51.044,0.01,-1.66,0.31
51.046,-0.45,-1.68,0.12
51.047,-0.78,-1.66,0.27
51.052,-1.08,-1.57,0.41
51.111,-1.14,-1.45,0.28
51.113,-1.08,-1.31,0.14
51.115,-0.9,-1.23,-0.01
51.117,-0.72,-1.2,-0.12
51.118,-0.59,-1.12,-0.15
51.121,-0.5,-1.03,-0.17
51.123,-0.42,-0.91,-0.2
51.125,-0.36,-0.83,-0.21
51.126,-0.28,-0.77,-0.19
51.127,-0.2,-0.74,-0.2
51.128,-0.13,-0.76,-0.23
51.13,-0.06,-0.83,-0.28
51.131,-0.03,-0.89,-0.29
51.133,0.01,-0.95,-0.31
51.134,0.03,-1.02,-0.34
51.136,0.04,-1.1,-0.36
51.137,0.03,-1.19,-0.4
51.148,0.03,-1.24,-0.41
51.151,0.01,-1.3,-0.42
51.153,-0.05,-1.33,-0.39
51.155,-0.11,-1.31,-0.37
51.164,-0.19,-1.25,-0.32
51.166,-0.27,-1.18,-0.3
51.208,-0.34,-1.13,-0.26
51.209,-0.41,-1.07,-0.29
51.211,-0.49,-1.01,-0.32
51.212,-0.57,-0.97,-0.36
51.213,-0.63,-0.93,-0.4
51.214,-0.71,-0.93,-0.4
51.216,-0.77,-0.89,-0.37
51.217,-0.81,-0.84,-0.34
51.218,-0.84,-0.78,-0.29
51.219,-0.85,-0.71,-0.23
51.221,-0.84,-0.64,-0.14
51.229,-0.8,-0.57,-0.06
51.231,-0.75,-0.53,0.03
51.235,-0.67,-0.52,0.1
51.243,-0.59,-0.53,0.17
51.245,-0.5,-0.54,0.21
51.25,-0.42,-0.57,0.22
51.301,-0.35,-0.6,0.25
51.304,-0.29,-0.65,0.26
51.306,-0.23,-0.71,0.27
51.307,-0.18,-0.75,0.26
51.309,-0.17,-0.78,0.24
51.31,-0.16,-0.81,0.21
51.312,-0.16,-0.84,0.16
51.314,-0.18,-0.86,0.12
51.315,-0.18,-0.87,0.07
51.317,-0.19,-0.86,0
51.319,-0.2,-0.86,-0.05
51.321,-0.21,-0.84,-0.12
51.323,-0.23,-0.82,-0.14
51.325,-0.25,-0.79,-0.16
51.326,-0.27,-0.77,-0.19
51.336,-0.29,-0.75,-0.22
51.338,-0.31,-0.74,-0.22
51.339,-0.34,-0.72,-0.22
51.343,-0.38,-0.71,-0.2
51.348,-0.4,-0.68,-0.19
51.353,-0.42,-0.65,-0.14
51.361,-0.45,-0.64,-0.08
51.364,-0.46,-0.63,-0.04
51.368,-0.48,-0.62,0
51.407,-0.5,-0.64,0.05
51.409,-0.54,-0.67,0.09
51.411,-0.57,-0.71,0.11
51.413,-0.6,-0.76,0.13
51.414,-0.63,-0.81,0.13
51.416,-0.63,-0.85,0.09
51.417,-0.62,-0.87,0.08
51.431,-0.62,-0.88,0.03
51.433,-0.61,-0.89,0
51.434,-0.6,-0.9,-0.01
51.435,-0.63,-0.9,-0.04
51.436,-0.63,-0.92,-0.03
51.438,-0.68,-0.92,-0.05
51.439,-0.71,-0.94,-0.04
51.448,-0.75,-0.96,-0.03
51.449,-0.78,-0.98,0
51.452,-0.82,-1,0.01
51.464,-0.83,-1.02,0.05
51.466,-0.86,-1.02,0.09
51.469,-0.85,-1,0.13
51.531,-0.85,-0.99,0.17
51.532,-0.84,-0.96,0.18
51.533,-0.86,-0.95,0.17
51.535,-0.86,-0.95,0.15
51.536,-0.85,-0.98,0.09
51.537,-0.85,-1.03,0.05
51.539,-0.85,-1.07,0.03
51.54,-0.85,-1.08,0
51.541,-0.88,-1.11,-0.01
51.543,-0.89,-1.12,-0.02
51.544,-0.93,-1.12,-0.05
51.545,-0.99,-1.11,-0.06
51.546,-1.06,-1.07,-0.07
51.547,-1.12,-1.02,-0.06
51.549,-1.19,-0.93,-0.07
51.55,-1.25,-0.87,-0.03
51.551,-1.28,-0.8,-0.03
51.561,-1.31,-0.76,0.01
51.563,-1.31,-0.73,0.1
51.566,-1.29,-0.71,0.19
51.657,-1.24,-0.7,0.31
51.659,-1.13,-0.68,0.42
51.661,-1.02,-0.7,0.53
51.663,-0.93,-0.73,0.6
51.665,-0.86,-0.76,0.65
51.666,-0.76,-0.84,0.65
51.668,-0.72,-0.94,0.61
51.672,-0.72,-1.02,0.55
51.673,-0.79,-1.14,0.47
51.675,-0.9,-1.26,0.41
51.677,-0.99,-1.4,0.39
51.679,-1.03,-1.52,0.41
51.68,-0.96,-1.67,0.44
51.682,-0.84,-1.77,0.41
51.684,-0.66,-1.83,0.25
51.685,-0.51,-1.84,0.01
51.686,-0.4,-1.88,-0.26
51.688,-0.33,-1.93,-0.51
51.689,-0.31,-1.98,-0.76
51.69,-0.26,-2,-1
51.692,-0.21,-2,-1.17
51.693,-0.15,-2,-1.22
51.694,-0.08,-2,-1.18
51.696,-0.03,-2,-0.97
51.697,0.03,-2,-0.65
51.698,0.11,-2,-0.07
51.7,0.13,-2,0.52
51.713,-0.05,-1.92,0.77
51.715,-0.27,-1.63,0.85
51.716,-0.39,-1.42,0.77
51.755,-0.39,-1.28,0.64
51.757,-0.34,-1.18,0.49
51.758,-0.29,-1.08,0.27
51.759,-0.32,-0.96,0.14
51.761,-0.32,-0.89,-0.03
51.762,-0.37,-0.82,-0.12
51.763,-0.43,-0.76,-0.19
51.765,-0.47,-0.72,-0.21
51.766,-0.55,-0.7,-0.18
51.768,-0.62,-0.7,-0.17
51.77,-0.64,-0.7,-0.16
51.78,-0.65,-0.69,-0.1
51.781,-0.63,-0.66,-0.07
51.783,-0.6,-0.64,-0.07
51.827,-0.55,-0.61,-0.06
51.83,-0.48,-0.59,-0.05
51.831,-0.38,-0.6,-0.11
51.833,-0.31,-0.6,-0.1
51.836,-0.26,-0.58,-0.11
51.838,-0.2,-0.57,-0.12
51.84,-0.18,-0.54,-0.13
51.841,-0.15,-0.49,-0.15
51.843,-0.12,-0.43,-0.17
51.844,-0.11,-0.4,-0.2
51.846,-0.09,-0.38,-0.19
51.847,-0.08,-0.35,-0.21
51.848,-0.05,-0.33,-0.2
51.857,-0.02,-0.3,-0.21
