numSteps,cadence,skewness,kurtosis,gaitVelocity,stepLength,ratio,stepTime,avgPower,snr,thd,weight,gender,drinks,result
12,1.1638,1.6739,6.1112,0.096984,-1.9231,0.47392,3.6547,32307,-2.9788,0,122,male,0,a
15,1.456,1.415,5.0284,0.097069,4.3077,0.81734,11.538,33805,-1.9759,0,122,male,0,a
12,1.198,1.1176,4.2467,0.09983,-1.9231,0.67603,4.3586,28407,-2.9645,-2.0745,122,male,0,a
15,1.6079,0.93506,3.7782,0.10719,4.3077,NaN,14.789,18244,2.8191,-8.7465,122,male,0,a
11,1.0969,1.2978,5.2158,0.099721,-3.6923,NaN,2.0382,27210,-2.2335,-2.0166,122,male,0,a
13,1.2708,1.1483,4.1973,0.097752,-1.11E-15,0.30816,6.29,19816,-4.9019,0,122,male,0,a
20,1.8121,1.2465,5.1838,0.090604,17.769,NaN,25.205,20587,-7.0386,0.49005,122,male,0,a
25,2.2478,1.2617,4.8794,0.089912,35.077,0.41394,45.073,22303,-6.5984,-1.9757,122,male,0,a
13,1.2372,1.1384,4.17,0.095166,1.11E-16,0.46325,5.575,34973,-5.616,0,122,male,0,a
11,1.1208,1.4894,6.1939,0.1019,-3.6923,0.55349,2.5153,26808,-4.0804,0,122,male,0,a
15,1.6271,0.56842,2.9307,0.10847,4.3077,NaN,15.187,5180.7,-4.6741,-5.7835,136,male,0,a
14,1.427,0.73499,3.024,0.10193,2.0769,NaN,10.167,4697,-1.5067,-13.344,136,male,0,a
